g id	t id	f1	f10	f11	f12	f13	f14	f15	f16	f17	f18	f19	f2	f20	f3	f4	f5	f6	f7	f8	f9
g1	t1	False	True	False	False	False	True	False	True	False	False	False	False	True	False	True	False	False	True	False	True
g1	t2	False	True	False	False	False	True	False	True	False	False	False	False	True	False	True	False	False	True	False	True
g1	t3																				
g1	t4	False	True	False	False	False	True	False	True	False	False	False	False	True	False	True	False	False	True	False	True
g1	t5	False	True	False	False	False	True	False	True	False	False	False	False	True	False	True	False	False	True	False	True
g1	t6	False	True	False	False	False	True	False	True	False	False	False	False	True	False	True	False	False	True	False	True
g1	t7	False	True	False	False	False	True	False	True	False	False	False	False	True	False	True	False	False	True	False	True
g1	t8																				
g1	t9																				
g1	t10	False	True	False	False	False	True	False	True	False	False	False	False	True	False	True	False	False	True	False	True
g10	t11	False	False	False	True	True	False	True	True	False	True	True	False	False	False	False	False	True	False	True	True
g10	t12	False	False	False	True	True	False	True	True	False	True	True	False	False	False	False	False	True	False	True	True
g10	t13	False	False	False	True	True	False	True	True	False	True	True	False	False	False	False	False	True	False	True	True
g10	t14																				
g10	t15																				
g10	t16	False	False	False	True	True	False	True	True	False	True	True	False	False	False	False	False	True	False	True	True
g10	t17																				
g10	t18																				
g10	t19	False	False	False	True	True	False	True	True	False	True	True	False	False	False	False	False	True	False	True	True
g10	t20	False	False	False	True	True	False	True	True	False	True	True	False	False	False	False	False	True	False	True	True
g100	t21	False	True	True	False	False	False	False	False	False	False	True	False	False	False	False	True	True	True	False	True
g100	t22	False	True	True	False	False	False	False	False	False	False	True	False	False	False	False	True	True	True	False	True
g100	t23	False	True	True	False	False	False	False	False	False	False	True	False	False	False	False	True	True	True	False	True
g100	t24	False	True	True	False	False	False	False	False	False	False	True	False	False	False	False	True	True	True	False	True
g100	t25	False	True	True	False	False	False	False	False	False	False	True	False	False	False	False	True	True	True	False	True
g100	t26	False	True	True	False	False	False	False	False	False	False	True	False	False	False	False	True	True	True	False	True
g100	t27																				
g100	t28	False	True	True	False	False	False	False	False	False	False	True	False	False	False	False	True	True	True	False	True
g100	t29																				
g100	t30																				
g100	t31	False	True	True	False	False	False	False	False	False	False	True	False	False	False	False	True	True	True	False	True
g101	t32																				
g101	t33	False	False	True	False	True	False	False	True	True	True	False	False	False	False	False	False	False	False	False	True
g101	t34																				
g101	t35	False	False	True	False	True	False	False	True	True	True	False	False	False	False	False	False	False	False	False	True
g101	t36																				
g101	t37	False	False	True	False	True	False	False	True	True	True	False	False	False	False	False	False	False	False	False	True
g101	t38																				
g101	t39	False	False	True	False	True	False	False	True	True	True	False	False	False	False	False	False	False	False	False	True
g101	t40	False	False	True	False	True	False	False	True	True	True	False	False	False	False	False	False	False	False	False	True
g101	t41	False	False	True	False	True	False	False	True	True	True	False	False	False	False	False	False	False	False	False	True
g101	t42																				
g102	t43																				
g102	t44	False	True	False	False	True	False	False	False	False	True	False	False	False	True	False	False	False	False	True	True
g102	t45	False	True	False	False	True	False	False	False	False	True	False	False	False	True	False	False	False	False	True	True
g102	t46																				
g102	t47																				
g102	t48	False	True	False	False	True	False	False	False	False	True	False	False	False	True	False	False	False	False	True	True
g103	t49																				
g103	t50	False	False	False	False	True	True	False	True	True	False	False	False	True	False	True	False	True	False	False	False
g103	t51																				
g103	t52	False	False	False	False	True	True	False	True	True	False	False	False	True	False	True	False	True	False	False	False
g103	t53	False	False	False	False	True	True	False	True	True	False	False	False	True	False	True	False	True	False	False	False
g103	t54	False	False	False	False	True	True	False	True	True	False	False	False	True	False	True	False	True	False	False	False
g103	t55																				
g103	t56																				
g103	t57	False	False	False	False	True	True	False	True	True	False	False	False	True	False	True	False	True	False	False	False
g104	t58	True	True	False	False	True	False	False	False	True	True	False	False	False	False	False	True	True	True	False	True
g104	t59	True	True	False	False	True	False	False	False	True	True	False	False	False	False	False	True	True	True	False	True
g104	t60																				
g104	t61	True	True	False	False	True	False	False	False	True	True	False	False	False	False	False	True	True	True	False	True
g104	t62	True	True	False	False	True	False	False	False	True	True	False	False	False	False	False	True	True	True	False	True
g104	t63	True	True	False	False	True	False	False	False	True	True	False	False	False	False	False	True	True	True	False	True
g104	t64	True	True	False	False	True	False	False	False	True	True	False	False	False	False	False	True	True	True	False	True
g104	t65	True	True	False	False	True	False	False	False	True	True	False	False	False	False	False	True	True	True	False	True
g104	t66																				
g104	t67																				
g105	t68																				
g105	t69																				
g105	t70	False	True	False	False	False	False	False	True	True	False	False	True	False	True	False	False	True	False	True	False
g105	t71	False	True	False	False	False	False	False	True	True	False	False	True	False	True	False	False	True	False	True	False
g105	t72	False	True	False	False	False	False	False	True	True	False	False	True	False	True	False	False	True	False	True	False
g105	t73																				
g105	t74																				
g105	t75	False	True	False	False	False	False	False	True	True	False	False	True	False	True	False	False	True	False	True	False
g105	t76	False	True	False	False	False	False	False	True	True	False	False	True	False	True	False	False	True	False	True	False
g105	t77	False	True	False	False	False	False	False	True	True	False	False	True	False	True	False	False	True	False	True	False
g105	t78																				
g105	t79	False	True	False	False	False	False	False	True	True	False	False	True	False	True	False	False	True	False	True	False
g106	t80	False	False	True	True	False	True	False	False	False	True	True	True	True	True	False	False	False	False	False	True
g106	t81	False	False	True	True	False	True	False	False	False	True	True	True	True	True	False	False	False	False	False	True
g106	t82	False	False	True	True	False	True	False	False	False	True	True	True	True	True	False	False	False	False	False	True
g106	t83																				
g106	t84																				
g106	t85																				
g106	t86	False	False	True	True	False	True	False	False	False	True	True	True	True	True	False	False	False	False	False	True
g106	t87																				
g107	t88	False	False	True	True	False	False	False	False	True	True	False	False	True	True	False	False	True	False	False	False
g107	t89	False	False	True	True	False	False	False	False	True	True	False	False	True	True	False	False	True	False	False	False
g107	t90																				
g107	t91	False	False	True	True	False	False	False	False	True	True	False	False	True	True	False	False	True	False	False	False
g107	t92	False	False	True	True	False	False	False	False	True	True	False	False	True	True	False	False	True	False	False	False
g107	t93																				
g107	t94	False	False	True	True	False	False	False	False	True	True	False	False	True	True	False	False	True	False	False	False
g107	t95																				
g107	t96																				
g107	t97	False	False	True	True	False	False	False	False	True	True	False	False	True	True	False	False	True	False	False	False
g107	t98																				
g107	t99	False	False	True	True	False	False	False	False	True	True	False	False	True	True	False	False	True	False	False	False
g108	t100	True	True	True	False	True	False	True	False	False	True	False	False	False	False	True	False	False	True	False	True
g108	t101	True	True	True	False	True	False	True	False	False	True	False	False	False	False	True	False	False	True	False	True
g108	t102																				
g108	t103	True	True	True	False	True	False	True	False	False	True	False	False	False	False	True	False	False	True	False	True
g108	t104	True	True	True	False	True	False	True	False	False	True	False	False	False	False	True	False	False	True	False	True
g108	t105	True	True	True	False	True	False	True	False	False	True	False	False	False	False	True	False	False	True	False	True
g108	t106	True	True	True	False	True	False	True	False	False	True	False	False	False	False	True	False	False	True	False	True
g108	t107																				
g109	t108	False	False	True	False	True	False	False	True	False	False	True	False	False	False	False	True	True	False	False	True
g109	t109																				
g109	t110	False	False	True	False	True	False	False	True	False	False	True	False	False	False	False	True	True	False	False	True
g109	t111	False	False	True	False	True	False	False	True	False	False	True	False	False	False	False	True	True	False	False	True
g109	t112																				
g109	t113																				
g109	t114	False	False	True	False	True	False	False	True	False	False	True	False	False	False	False	True	True	False	False	True
g109	t115																				
g11	t116	False	True	False	False	True	False	True	False	True	False	True	True	False	True	False	False	False	False	False	False
g11	t117																				
g11	t118	False	True	False	False	True	False	True	False	True	False	True	True	False	True	False	False	False	False	False	False
g11	t119	False	True	False	False	True	False	True	False	True	False	True	True	False	True	False	False	False	False	False	False
g11	t120	False	True	False	False	True	False	True	False	True	False	True	True	False	True	False	False	False	False	False	False
g11	t121																				
g11	t122	False	True	False	False	True	False	True	False	True	False	True	True	False	True	False	False	False	False	False	False
g11	t123																				
g11	t124	False	True	False	False	True	False	True	False	True	False	True	True	False	True	False	False	False	False	False	False
g110	t125	False	False	True	True	False	True	False	False	False	False	False	False	True	True	True	False	False	False	True	False
g110	t126																				
g110	t127	False	False	True	True	False	True	False	False	False	False	False	False	True	True	True	False	False	False	True	False
g110	t128																				
g110	t129	False	False	True	True	False	True	False	False	False	False	False	False	True	True	True	False	False	False	True	False
g110	t130	False	False	True	True	False	True	False	False	False	False	False	False	True	True	True	False	False	False	True	False
g110	t131	False	False	True	True	False	True	False	False	False	False	False	False	True	True	True	False	False	False	True	False
g110	t132	False	False	True	True	False	True	False	False	False	False	False	False	True	True	True	False	False	False	True	False
g110	t133	False	False	True	True	False	True	False	False	False	False	False	False	True	True	True	False	False	False	True	False
g110	t134																				
g110	t135																				
g110	t136																				
g111	t137	False	False	True	False	False	False	False	False	False	False	False	False	False	False	True	True	True	True	False	True
g111	t138																				
g111	t139																				
g111	t140																				
g111	t141	False	False	True	False	False	False	False	False	False	False	False	False	False	False	True	True	True	True	False	True
g111	t142	False	False	True	False	False	False	False	False	False	False	False	False	False	False	True	True	True	True	False	True
g111	t143	False	False	True	False	False	False	False	False	False	False	False	False	False	False	True	True	True	True	False	True
g111	t144																				
